A,12P,14P,15P,16P,12S,14S,15S,16S
1,138,140,197,184,230,233,341,323
2, , , , ,220,228, , 
3, ,122, , ,227,230,311,330
4, , , , ,205,203, ,270
5, ,141, , ,232,242, ,351
6,190,188,120,155,373,360,245,307
7,180,171,119,127,351,337,243,261
8,127,131, ,152,239,243,322,296
9, ,140, , ,240,243,293,283
10,115,117, ,148,235,239,338,289
11, ,135,120, ,273,263,243,239
12, , , , ,211,219, , 
13,112,119, , ,219,228,320,300
14,110,123, ,169,234,241, ,301
15, ,194,217,209,291,280,309,295
16,148,146,129,129,259,249,241,241
17,157,157,147, ,259,257,242,328
18, ,189,143,160,346,330,250,273
19, ,179,130,149,336,321,241,273
20, ,141,136,174,240,245,251,319
21,111,115, , ,226,237,320,309
22, ,190, ,143,360,346,245,260
23, , , , ,237,239, ,310
25,165,158,104,127,349,334,234,270
26, , , ,130, ,253,233,248
27, , ,139,151,310,300,247,273
28, , , , , ,244,221,219
29, , , , ,338,331,243,300
30,137,141,160, ,236,243,282,328
31, , , , , , ,243,271
32, ,185, ,131, ,325,244,270
33, ,133,102,94, , ,310,293
34, ,150,154,156,250,247,257,270
35, , , , , ,317,269,238
36, ,160, ,171, ,281,245,297
37,147,148, ,136, ,296,263,271
38, , , ,174,381,361,313,292
39,135,130, , ,233,232, ,253
40, ,167,185,175,251,247,292,284
41, ,125, , ,212,220,251,304
42,105,115,135,178,230,242,262,330
43, , , , ,232,245,298, 
44, ,140,75,112,330,311,208,276
49,241,240, , ,344,363,413, 
50,113,121, , ,222,232,299,348
51, ,143,110,108,300,278,240,232
53,91,99, , ,191,199, , 
54, ,97, , ,200,217, ,311
56, , , , ,218,231,273,280
57, , , , ,203,208, , 
59, ,132, , ,224,239, ,358
60, ,116, , ,227,229, ,350
64,177,175, ,125,343,333,244,275
65, ,185,116, ,353,351,232,307
69, , , , ,234,241, ,300
70, ,158,108,125,343,334,244,275
71, ,140, , ,241,238, ,272
72, , , , , ,213, ,267
73,110,113, , ,218,229,252,320
74, , ,101,133, ,328,247,269
75, , , , ,235,245, , 
77, ,102, , ,250,238,242,265
79, , , , ,228,238, , 
80, , , , ,250,253, ,311
82, , , , ,348,334,245,280
86, ,110, , ,225,237, ,280
89, , , , , ,277, ,231
90, , , , , ,270, ,237
94, , , , ,240,231, ,260
96, ,160, ,131,270,264,232,219
97, ,149, , , ,267,271,219
98, , , , ,290,287, ,221
99, ,163,143, , ,291,248,242
100, , , , ,309,291,261,211
104, , , , ,298,289, ,242
107, , ,118, ,365,347,242,297
114, ,162, , , ,332,240,230
201, , , , ,249,241,332,232
202, , , , ,263,251,260,243
203, ,138,120,100,300,286,260,239
204, ,95, , ,220,230, ,310
205, , , , ,203, , ,210
206, , , , ,229,239, , 
207, , , , ,228,234, , 
208, , , , ,241,245, ,292
209, ,123, ,158,220,236, ,290
210, , , , ,227,229, ,250
211, , , , , ,282, ,236
212, ,121, , ,219,227,262,307
213, , , , , ,383,272, 
214, , , , , , ,234,348
215, , , , ,227,220, , 
216, , , , ,215,215,321,285
217, , , , ,227,239, , 
218, , , , ,170,189,264,291
219, , , , ,204,213, ,282
220, , , , ,242,245, , 
221, , , , ,262,251, , 
222, , , , ,232,242, , 
223, , , , ,306,301,226,320
224, ,94, ,112,231,231, ,239
225, , , , ,241,235, ,270
226, , , , ,202,192, ,230
227, , , , , ,274, , 
228, , , , , ,226, ,218
229, , , , ,193,202, ,266
230, , , , ,301,283,242,220
231, , , , , ,330,232,275
232, , , , , , ,285,269
233, , , , , ,315,238,270
234, , ,138, ,334,321,243,302
235, , , , , , ,200,236
236, , , , , ,251,276,231
237, , , , , ,252,230,248
238, , , , ,331,317,227,280
239, , , , , ,300,241,299
240, , , , , ,291, ,323
241, , , ,70, ,278, ,231
242, , ,115,154, ,342,247,318
243, , , , ,264,253,239,236
244, , , , , ,339,230,261
245, , , , , ,304,234,208
246, ,163, , , ,293,229,248
248, , , , , ,228,224,220
249, , , , , ,275,277,237
250, , , , , ,282,270,222
251, ,155, ,121, ,310, ,242
252, , , , , ,289, ,243
253, , , , , ,244, ,340
254, , , , , ,225, ,246
255, , , , , ,289,275,247
256, , , , , ,305, ,240
257, ,180, , , ,318,249,300
258, , , , , ,247,253,200
259, , , , ,268,246,254,237
260, , , , , ,271,260,220
261, , , , , , , ,290
262, , , , , ,282, ,230
263, , , , , ,301,219, 
264, , , , , ,220, ,300
265, , , , , ,297,247, 
266, , , , ,241,241,222, 
267, , , , , ,264,242,178
268, , , , , , , ,240
269, , , , , , , ,193
270, , , , , ,237, ,232
271, , ,133, , , ,249,333
272, , , ,110, ,315, ,245
273, , , , , ,222, ,190
274, , , , , ,291, ,233
275, , , , , , , ,175
276, , , , , ,190,263,270
277, , , , , ,267,227, 
278, , , , , , , ,238
279, , , , , ,224,238,240
280, , , , , ,290,240,200
281,95,95, , ,240,235, ,280
282, , ,110,106, ,338,282,279
283, ,178, , , ,302,267,252
284, , , , , , ,268,243
285,171,165, ,89, , ,242,285
286, , ,118, , , ,248,321
287, , , , , ,330,246,272
288, , , , , ,185, ,280
289, , , , , ,277,239, 
290, , , , , ,263,240,250
